"content_id","user_id","reaction_type","datetime","content_type","category","type","sentiment","score","category_total_score"
"0c2bd955f00f4c2f89997cc0ada4b3e7","007a1366a46f40f19ba501245aeaf20f","love","2021-03-03 00:12:00","photo","animals","love","positive",65,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","0a1cde5779ab4c61b6641d3b290b43cf","hate","2020-07-05 02:52:00","photo","animals","hate","negative",5,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","1582dac6ebec43eda34a1a202ca72627","peeking","2021-05-30 15:52:00","photo","animals","peeking","neutral",35,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","1798905d6c3a4e5da9d1ce429b1260d7","scared","2021-05-09 23:51:00","photo","animals","scared","negative",15,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","1e6db00c22dd4ae980e395f7a88b18b8","hate","2021-01-17 07:54:00","photo","animals","hate","negative",5,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","242a3620fc184120ac7237b0f3716879","super love","2020-12-28 01:10:00","photo","animals","super love","positive",75,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","289044c8e74c4814898ab3b5eba6e46e","interested","2020-08-18 11:20:00","photo","animals","interested","positive",30,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","2c32ac39926d4473801f5733222ad74f","interested","2021-06-06 09:10:00","photo","animals","interested","positive",30,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","31cfc138cec04176bd6d79c4cadbb1d4","scared","2020-08-17 15:57:00","photo","animals","scared","negative",15,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","346174b146614cdd8c4766dbd013cd56","hate","2021-03-21 01:26:00","photo","animals","hate","negative",5,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","3d13e0d3e765406592213f864689b9e0","peeking","2021-02-21 09:04:00","photo","animals","peeking","neutral",35,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","4eed2f45f0404995a60f472af1ff379a","heart","2020-07-17 01:30:00","photo","animals","heart","positive",60,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","542041fbf3614353b0f0442c1585317a","disgust","2020-08-21 04:21:00","photo","animals","disgust","negative",0,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","5b62e10e3c194d28a57ce9bdc3d6758d","interested","2021-01-22 11:01:00","photo","animals","interested","positive",30,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","5d04455ba95e40d8bcd48c485777c47f","want","2021-04-04 01:51:00","photo","animals","want","positive",70,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","7a85fbc6253f45529f4ac1a332e14fa5","intrigued","2020-09-21 00:46:00","photo","animals","intrigued","positive",45,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","91bec0aba8d4421eb333e511c7c6f9a0","adore","2020-08-25 02:45:00","photo","animals","adore","positive",72,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","a4fd79209edf493084bd7a38b3bf9cec","indifferent","2020-09-26 00:09:00","photo","animals","indifferent","neutral",20,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","a8229d24f2194930a38224049a8f73bb","scared","2021-05-03 02:28:00","photo","animals","scared","negative",15,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","acfcd174178c4af381185be702fb80cf","heart","2021-02-26 15:56:00","photo","animals","heart","positive",60,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","c924f935cff845c0b4b75ed2c6cdaac8","heart","2020-09-05 14:57:00","photo","animals","heart","positive",60,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","de1d478e35524223b039d3086cc485ec","scared","2021-03-07 21:09:00","photo","animals","scared","negative",15,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","f5d9a26e986d4d8ea1c969493fb64736","scared","2021-03-09 04:06:00","photo","animals","scared","negative",15,"65063"
"0c2bd955f00f4c2f89997cc0ada4b3e7","fb4654ffce234a77b52a50f8948b5664","heart","2020-11-17 16:28:00","photo","animals","heart","positive",60,"65063"
"0c6e8e2a76924490b545f76b0d06697a","0c9ea4dac6094b08ab441da0530ba364","disgust","2021-02-25 15:49:00","photo","animals","disgust","negative",0,"65063"
"0c6e8e2a76924490b545f76b0d06697a","109782f941414d5a826f9a4ea672f65b","intrigued","2020-12-24 22:14:00","photo","animals","intrigued","positive",45,"65063"
"0c6e8e2a76924490b545f76b0d06697a","15c2ba5beeb64d9ba0e27d5461a21c0a","cherish","2021-01-16 23:10:00","photo","animals","cherish","positive",70,"65063"
"0c6e8e2a76924490b545f76b0d06697a","163daa388b7748c99af637a6c1447ac2","cherish","2020-12-07 19:04:00","photo","animals","cherish","positive",70,"65063"
"0c6e8e2a76924490b545f76b0d06697a","2019ba88196743e69710b17ade18afb3","want","2021-02-20 11:16:00","photo","animals","want","positive",70,"65063"
"0c6e8e2a76924490b545f76b0d06697a","23483ddde43e4c5fa1b75392410aa8d1","cherish","2020-06-23 14:00:00","photo","animals","cherish","positive",70,"65063"
"0c6e8e2a76924490b545f76b0d06697a","2a41e6284cc54765af2e8b3dec750c0b","love","2020-10-29 15:18:00","photo","animals","love","positive",65,"65063"
"0c6e8e2a76924490b545f76b0d06697a","2f112802250145b5a9d9470cda6ef23e","like","2020-12-22 17:33:00","photo","animals","like","positive",50,"65063"
"0c6e8e2a76924490b545f76b0d06697a","346174b146614cdd8c4766dbd013cd56","want","2020-09-15 08:34:00","photo","animals","want","positive",70,"65063"
"0c6e8e2a76924490b545f76b0d06697a","3f218ab6a2884ee8affc3d02a9cbff5f","disgust","2021-03-31 05:40:00","photo","animals","disgust","negative",0,"65063"
"0c6e8e2a76924490b545f76b0d06697a","47def05801cc478f9830eaddcccac633","indifferent","2020-09-04 20:20:00","photo","animals","indifferent","neutral",20,"65063"
"0c6e8e2a76924490b545f76b0d06697a","4c731e4803774d7db4c8b2174b774ed8","cherish","2020-11-23 18:39:00","photo","animals","cherish","positive",70,"65063"
"0c6e8e2a76924490b545f76b0d06697a","4fe1900d5e7841a388ed18e6889c6c77","super love","2021-05-19 01:21:00","photo","animals","super love","positive",75,"65063"
"0c6e8e2a76924490b545f76b0d06697a","740a4abd187d4783990b161c52fb5f86","indifferent","2021-03-07 16:21:00","photo","animals","indifferent","neutral",20,"65063"
"0c6e8e2a76924490b545f76b0d06697a","80c36ce22cef4a47a563d2a60a2b1825","like","2021-05-01 03:48:00","photo","animals","like","positive",50,"65063"
"0c6e8e2a76924490b545f76b0d06697a","9851114045c44faa9962fea5ad618ea3","scared","2021-01-24 17:22:00","photo","animals","scared","negative",15,"65063"
"0c6e8e2a76924490b545f76b0d06697a","9b6d35f95e154cd0a8d7b1f3340e02c4","interested","2020-11-26 18:30:00","photo","animals","interested","positive",30,"65063"
"0c6e8e2a76924490b545f76b0d06697a","9e9cf8e7673147dabc0f3a487e835586","intrigued","2021-01-15 13:29:00","photo","animals","intrigued","positive",45,"65063"
"0c6e8e2a76924490b545f76b0d06697a","9ed68c7013fd4346808f2665943c46d6","scared","2020-12-08 08:30:00","photo","animals","scared","negative",15,"65063"
"0c6e8e2a76924490b545f76b0d06697a","b0d6f088ee974087aeb14957f24a5f4d","super love","2020-12-26 17:29:00","photo","animals","super love","positive",75,"65063"
